name,fpr_at_tpr,auroc,aupr_in,aupr_out
svhn,0.37304087277197295,0.9149818723110019,0.8126024792321473,0.9604067350378647
cifar100,0.505,0.8708761749999999,0.8581121127321703,0.8673746010497497
tinc,0.3827,0.915147395,0.9144227083706105,0.9116869869862166
tinr,0.4648,0.89025319,0.8873112766202337,0.8858097292228795
lsunc,0.1913,0.9600735,0.9584892465947175,0.9600048734954735
lsunr,0.2787,0.9411815649999998,0.9416467195207898,0.9371540644141702
dtd,0.43351063829787234,0.8863078014184396,0.9190634206587247,0.8369506032542093
places365_10k,0.2685,0.9432176200000001,0.9416368425901065,0.9411876028034855
isun,0.33859943977591034,0.925581787114846,0.9326392877861045,0.914033828960615
